ID,address,city,country,name,postalCode,state
1,324 Main St,Massena,US,McDonald's,13662,NY
2,530 Clinton Ave,Washington Court House,US,Wendy's,43160,OH
3,408 Market Square Dr,Maysville,US,Frisch's Big Boy,41056,KY
4,6098 State Highway 37,Massena,US,McDonald's,13662,NY
5,139 Columbus Rd,Athens,US,OMG! Rotisserie,45701,OH
6,4182 Tonya Trl,Hamilton,US,Domino's Pizza,45011,OH
7,590 S Main St,Englewood,US,Domino's Pizza,45322,OH
8,401 N Jennings St,Saluda,US,McDonald's,29138,SC
9,205 W Church St,Batesburg,US,Wendy's,29006,SC
10,2711 W. Kings Highway Ste. 18,Paragould,US,Pizza Hut,72450,AR
11,613 W Center St,Sheridan,US,SONIC Drive In,72150,AR
12,512 Highway 425 S Lot B,Monticello,US,Domino's Pizza,71655,AR
13,1535 NW 50th St,Oklahoma City,US,McDonald's,73118,OK
14,125 Towne Center Dr,Lexington,US,Domino's Pizza,40511,KY
15,66 14th St.,Tell City,US,Long John Silver's,47586,IN
16,301 University Blvd,Louisville,US,McDonald's,40208,KY
17,5812 NW Expressway,Oklahoma City,US,McDonald's,73132,OK
18,101 Thomas Garst Ln,Leland,US,Taco Bell,28451,NC
19,1111 New Pointe Blvd,Leland,US,McDonald's,28451,NC
20,782 Old Hickory Blvd Ste 120,Brentwood,US,Qdoba Mexican Grill,37027,TN
21,108 Village Rd NE,Leland,US,McDonald's,28451,NC
22,1116 Old Highway 60,Hardinsburg,US,McDonald's,40143,KY
23,1423 Southwest Pkwy,Wichita Falls,US,McDonald's,76302,TX
24,908 Padre Blvd,South Padre Island,US,McDonald's,78597,TX
25,1131n N Main St,Miami,US,McDonald's,74354,OK
26,3401 Hwy 165 North,Pineville,US,Pizza Hut,71360,LA
27,1631 E Madison Ave,Bastrop,US,Sonic Drive-In,71220,LA
28,301 S Lynn Riggs Blvd,Claremore,US,Domino's Pizza,74017,OK
29,601 E Lincolnway,Minerva,US,McDonald's,44657,OH
30,3211 S 4th St,Leavenworth,US,SONIC Drive In,66048,KS
31,105 Business Loop W,Jamestown,US,Taco Bell,58401,ND
32,1531 University Dr S,Fargo,US,Domino's Pizza,58103,ND
33,718 10th St SE,Jamestown,US,Taco John's,58401,ND
34,1400 24th Ave SW,Minot,US,McDonald's,58701,ND
35,703 S Magnolia St,Woodville,US,Whataburger,75979,TX
36,1535 S Broadway,Minot,US,Pizza Hut,58701,ND
37,775 S Main St,Smithfield,US,Domino's Pizza,84335,UT
38,218 W Main St,Ada,US,Hamburger King,74820,OK
39,3208 S Elm Pl,Broken Arrow,US,SONIC Drive In,74012,OK
40,3056 Classen Blvd Unit A,Norman,US,Domino's Pizza,73071,OK
41,982 Macon St,Warner Robins,US,Burger King,31098,GA
42,6060 San Mateo Blvd NE,Albuquerque,US,Burger King,87109,NM
43,8401 Gateway Blvd W Ste M4,El Paso,US,McDonalds,79925,TX
44,450 N Harrison Ave,Shawnee,US,SONIC Drive In,74801,OK
45,9455 SW Barbur Blvd,Portland,US,Taco Time,97219,OR
46,351 River Hill Dr,Ashland,US,McDonald's,41101,KY
47,18000 Bagley Rd,Cleveland,US,Burger King,44130,OH
48,3700 N 1st Ave,Evansville,US,McDonald's,47710,IN
49,895 N Highway 77 Ste 300,Waxahachie,US,Jimmy John's,75165,TX
50,819 SW 19th St,Oklahoma City,US,Domino's Pizza,73160,OK
51,"95-1249 Meheula Parkway,",Mililani,US,Jersey Mike's Subs,96789,HI
52,1625 Veterans Pkwy,Jeffersonville,US,Popeyes Louisiana Kitchen,47130,IN
53,2730 S Hurstbourne Pkwy Suite 100,Louisville,US,Qdoba Mexican Grill,40220,KY
54,5680 Commercial St SE Ste 100,Salem,US,Domino's Pizza,97306,OR
55,2870 W Loop 1604 S,San Antonio,US,Whataburger,78245,TX
56,1321 Herr Ln Ste 150,Louisville,US,Qdoba Mexican Grill,40222,KY
57,100 Northside Dr,Bennington,US,Taco Bell,5201,VT
58,6611 S Mo Pac Expy Ste B,Austin,US,Whataburger,78749,TX
59,9300 S Interstate 35 Bldg H,Austin,US,Whataburger,78748,TX
60,315 N Stephenson Ave,Iron Mountain,US,Hardee's,49801,MI
61,2439 Springs Rd NE,Hickory,US,McDonald's,28601,NC
62,9651 Natural Bridge Rd,Saint Louis,US,Rally's,63134,MO
63,1665 Dove Park Rd Ste 300,Mandeville,US,Quiznos,70471,LA
64,225 Grant Ave,Auburn,US,Burger King,13021,NY
